auction,quotatot,bid_id,bidder,qb,pb,qr,pr,qperc
29775,180000,68969,1,400,1020,400,4080,0.222
29775,180000,68970,1,100,950,100,950,0.056
29775,180000,68971,1,100,900,100,900,0.056
29775,180000,68972,1,100,800,100,800,0.056
29840,360000,69596,1,400,710,400,2840,0.111
29965,225000,70405,1,200,660,200,1320,0.089
29965,225000,70406,1,100,640,100,640,0.044
29965,225000,70407,1,100,620,100,620,0.044
29965,225000,70408,1,100,610,100,610,0.044
30171,67500,71834,1,100,640,0,0,0
30171,67500,71835,1,100,620,0,0,0
30171,67500,71836,1,100,590,0,0,0
30297,270000,73085,1,200,900,0,0,0
30297,270000,73086,1,200,850,0,0,0
30297,270000,73087,1,200,800,0,0,0
30297,270000,73088,1,200,700,0,0,0
30297,270000,73089,1,200,600,0,0,0
30391,270000,73886,1,200,950,200,1900,0.074
30391,270000,73887,1,100,900,100,900,0.037
30391,270000,73888,1,100,800,100,800,0.037
30520,90000,75108,1,100,700,0,0,0
30520,90000,75109,1,100,660,0,0,0
30520,90000,75110,1,100,600,0,0,0
30520,90000,75111,1,100,550,0,0,0
30586,180000,75487,1,100,1010,0,0,0
30586,180000,75488,1,200,980,0,0,0
30586,180000,75489,1,100,850,0,0,0
30692,360000,75816,1,300,1110,300,3330,0.083
30692,360000,75817,1,200,1000,200,2000,0.056
30692,360000,75818,1,200,900,200,1800,0.056
30692,360000,75819,1,100,800,100,800,0.028
30692,360000,75820,1,100,700,0,0,0
30806,180000,77406,1,200,1105,200,2210,0.111
30806,180000,77407,1,100,990,100,990,0.056
30988,360000,79972,1,100,1050,100,1050,0.028
30988,360000,79973,1,100,980,100,980,0.028
30988,360000,79974,1,100,750,100,750,0.028
31159,157500,80303,1,100,1000,100,1000,0.063
31159,157500,80304,1,100,600,0,0,0
31159,157500,80305,1,100,500,0,0,0
31294,270000,81424,1,100,900,100,900,0.037
31294,270000,81425,1,100,850,100,850,0.037
31294,270000,81426,1,100,800,100,800,0.037
31294,270000,81427,1,100,750,100,750,0.037
31294,270000,81428,1,100,620,100,620,0.037
31443,315000,82821,1,100,800,100,800,0.032
31443,315000,82822,1,100,650,100,650,0.032
31443,315000,82823,1,100,600,0,0,0
31606,180000,83889,1,100,880,100,880,0.056
31606,180000,83890,1,100,790,0,0,0
31606,180000,83891,1,100,690,0,0,0
31700,270000,84512,1,100,920,100,920,0.037
31700,270000,84513,1,200,900,200,1800,0.074
31700,270000,84514,1,100,850,0,0,0
31700,270000,84515,1,100,820,0,0,0
31700,270000,84516,1,100,620,0,0,0
31783,405000,85486,1,100,890,100,890,0.025
31783,405000,85487,1,100,810,0,0,0
31783,405000,85488,1,100,720,0,0,0
31783,405000,85489,1,100,660,0,0,0
31783,405000,85490,1,100,610,0,0,0
31900,270000,86601,1,100,950,100,950,0.037
31900,270000,86602,1,100,915,100,915,0.037
31900,270000,86603,1,100,900,100,900,0.037
31900,270000,86604,1,100,875,100,875,0.037
31940,360000,86977,1,100,810,100,810,0.028
32033,360000,87625,1,100,930,100,930,0.028
32033,360000,87626,1,100,900,100,900,0.028
32033,360000,87627,1,100,820,100,820,0.028
32033,360000,87628,1,100,750,100,750,0.028
32033,360000,87629,1,100,650,100,650,0.028
32122,247500,88494,1,100,650,0,0,0
32122,247500,88495,1,100,750,100,750,0.04
32169,540000,88815,1,200,750,0,0,0
32169,540000,88816,1,100,660,0,0,0
32169,540000,88817,1,100,620,0,0,0
32169,540000,88818,1,100,605,0,0,0
32169,540000,88819,1,100,550,0,0,0
32262,630000,90542,1,100,1050,100,1050,0.016
32262,630000,90543,1,100,990,100,990,0.016
32262,630000,90544,1,100,901,100,901,0.016
32942,135000,94980,1,150,1395,150,2092.5,0.111
32942,135000,94981,1,100,895,0,0,0
33253,360000,97302,1,100,1050,100,1050,0.028
33631,540000,99223,1,100,1200,0,0,0
33768,540000,100991,1,100,1390,0,0,0
29621,247500,66884,2,500,707,500,3535,0.202
29621,247500,66885,2,1000,677,1000,6770,0.404
29621,247500,66886,2,2000,647,2000,12940,0.808
29621,247500,66887,2,1500,617,1500,9255,0.606
29621,247500,66888,2,1500,587,0,0,0
29775,180000,68852,2,800,808,800,6464,0.444
29775,180000,68853,2,1000,778,1000,7780,0.556
29775,180000,68854,2,1000,758,1000,7580,0.556
29775,180000,68855,2,1500,708,1500,10620,0.833
29775,180000,68856,2,2000,495,0,0,0
29840,360000,69475,2,1500,758,1500,11370,0.417
29840,360000,69476,2,2000,728,2000,14560,0.556
29840,360000,69477,2,2000,718,2000,14360,0.556
29840,360000,69478,2,2000,698,2000,13960,0.556
29840,360000,69479,2,2000,558,0,0,0
29965,225000,70227,2,500,618,500,3090,0.222
29965,225000,70228,2,800,608,800,4864,0.356
29965,225000,70229,2,1500,603,1500,9045,0.667
29965,225000,70230,2,1500,593,1500,8895,0.667
29965,225000,70231,2,2000,558,0,0,0
30171,67500,71662,2,750,1003,750,7522.5,1.111
30171,67500,71663,2,750,953,750,7147.5,1.111
30171,67500,71664,2,500,903,0,0,0
30171,67500,71665,2,500,853,0,0,0
30171,67500,71666,2,1000,753,0,0,0
30297,270000,72639,2,1500,993,1500,14895,0.556
30297,270000,72640,2,2000,963,2000,19260,0.741
30297,270000,72641,2,2500,933,2500,23325,0.926
30297,270000,72642,2,2500,903,2500,22575,0.926
30297,270000,72643,2,2500,853,0,0,0
30391,270000,73655,2,1000,823,1000,8230,0.37
30391,270000,73656,2,1000,803,1000,8030,0.37
30391,270000,73657,2,1500,753,1500,11295,0.556
30391,270000,73658,2,2000,723,2000,14460,0.741
30391,270000,73659,2,2500,703,2500,17575,0.926
30520,90000,74987,2,500,933,500,4665,0.556
30520,90000,74988,2,500,913,500,4565,0.556
30520,90000,74989,2,1000,883,0,0,0
30520,90000,74990,2,1000,863,0,0,0
30520,90000,74991,2,1000,803,0,0,0
30586,180000,75369,2,1500,1223,1500,18345,0.833
30586,180000,75370,2,1500,1213,1500,18195,0.833
30586,180000,75371,2,1500,1153,1500,17295,0.833
30586,180000,75372,2,1500,1083,0,0,0
30586,180000,75373,2,2000,1059,0,0,0
30692,360000,75895,2,1000,897,1000,8970,0.278
30692,360000,75896,2,2000,867,2000,17340,0.556
30692,360000,75897,2,2000,827,2000,16540,0.556
30692,360000,75898,2,2000,787,2000,15740,0.556
30692,360000,75899,2,2000,707,0,0,0
30806,180000,77302,2,1000,747,1000,7470,0.556
30806,180000,77303,2,1000,727,1000,7270,0.556
30806,180000,77304,2,1000,707,1000,7070,0.556
30806,180000,77305,2,2000,687,2000,13740,1.111
30806,180000,77306,2,2000,627,0,0,0
30890,630000,78070,2,1000,697,1000,6970,0.159
30890,630000,78071,2,2000,677,2000,13540,0.317
30890,630000,78072,2,2500,657,2500,16425,0.397
30890,630000,78073,2,3000,597,3000,17910,0.476
30890,630000,78074,2,4000,577,4000,23080,0.635
30988,360000,79763,2,1000,527,1000,5270,0.278
30988,360000,79764,2,1500,507,1500,7605,0.417
30988,360000,79765,2,2500,487,2500,12175,0.694
30988,360000,79766,2,3000,437,3000,13110,0.833
30988,360000,79767,2,3500,387,3500,13545,0.972
31159,157500,80386,2,1500,777,1500,11655,0.952
31159,157500,80387,2,2000,757,2000,15140,1.27
31159,157500,80388,2,1500,677,1500,10155,0.952
31159,157500,80389,2,1500,627,1500,9405,0.952
31159,157500,80390,2,3000,517,0,0,0
31294,270000,81429,2,2000,627,2000,12540,0.741
31294,270000,81430,2,2500,607,2500,15175,0.926
31294,270000,81431,2,2500,587,2500,14675,0.926
31294,270000,81432,2,3000,537,0,0,0
31294,270000,81433,2,3000,467,0,0,0
31353,360000,82007,2,1500,637,1500,9555,0.417
31353,360000,82008,2,2500,617,2500,15425,0.694
31353,360000,82009,2,3000,597,3000,17910,0.833
31353,360000,82010,2,3000,577,3000,17310,0.833
31353,360000,82011,2,3000,537,0,0,0
31443,315000,82935,2,1000,667,1000,6670,0.317
31443,315000,82936,2,3500,647,3500,22645,1.111
31443,315000,82937,2,5500,627,5500,34485,1.746
31443,315000,82938,2,5000,607,0,0,0
31443,315000,82939,2,2000,577,0,0,0
31606,180000,83956,2,3000,927,3000,27810,1.667
31606,180000,83957,2,3000,907,3000,27210,1.667
31606,180000,83958,2,4000,887,4000,35480,2.222
31606,180000,83959,2,2500,867,2500,21675,1.389
31606,180000,83960,2,2500,847,2500,21175,1.389
31700,270000,84571,2,3000,957,3000,28710,1.111
31700,270000,84572,2,3000,937,3000,28110,1.111
31700,270000,84573,2,3000,927,3000,27810,1.111
31700,270000,84574,2,3000,917,3000,27510,1.111
31700,270000,84575,2,3000,897,3000,26910,1.111
31783,405000,85365,2,2000,927,2000,18540,0.494
31783,405000,85366,2,6000,907,6000,54420,1.481
31783,405000,85367,2,10000,887,10000,88700,2.469
31783,405000,85368,2,2000,867,2000,17340,0.494
31783,405000,85369,2,2000,847,0,0,0
31900,270000,86753,2,500,837,500,4185,0.185
31900,270000,86754,2,1000,827,1000,8270,0.37
31900,270000,86755,2,1500,807,1500,12105,0.556
31900,270000,86756,2,4000,787,4000,31480,1.481
31900,270000,86757,2,3000,767,3000,23010,1.111
31940,360000,87021,2,500,707,500,3535,0.139
31940,360000,87022,2,2000,687,2000,13740,0.556
31940,360000,87023,2,4000,667,4000,26680,1.111
31940,360000,87024,2,4000,647,4000,25880,1.111
31940,360000,87025,2,2000,627,2000,12540,0.556
32033,360000,87453,2,2000,687,2000,13740,0.556
32033,360000,87454,2,3000,672,3000,20160,0.833
32033,360000,87455,2,4000,657,4000,26280,1.111
32033,360000,87456,2,5000,642,5000,32100,1.389
32033,360000,87457,2,2000,627,2000,12540,0.556
32122,247500,88536,2,1000,717,1000,7170,0.404
32122,247500,88537,2,2000,702,2000,14040,0.808
32122,247500,88538,2,2000,687,2000,13740,0.808
32122,247500,88539,2,2000,672,2000,13440,0.808
32122,247500,88540,2,1500,657,1500,9855,0.606
32169,540000,88778,2,5000,827,5000,41350,0.926
32169,540000,88779,2,5000,802,0,0,0
32169,540000,88780,2,8000,777,0,0,0
32169,540000,88781,2,8000,752,0,0,0
32169,540000,88782,2,8000,727,0,0,0
32262,630000,90708,2,5000,847,5000,42350,0.794
32262,630000,90709,2,5000,827,5000,41350,0.794
32262,630000,90710,2,10000,807,10000,80700,1.587
32262,630000,90711,2,4000,787,4000,31480,0.635
32262,630000,90712,2,4000,767,0,0,0
32370,202500,91095,2,2000,957,0,0,0
32370,202500,91096,2,5000,947,0,0,0
32370,202500,91097,2,5000,937,0,0,0
32370,202500,91098,2,3000,847,0,0,0
32370,202500,91099,2,2000,827,0,0,0
32561,315000,92142,2,10000,1100,10000,110000,3.175
32561,315000,92143,2,2000,1080,2000,21600,0.635
32561,315000,92144,2,2000,1050,0,0,0
32561,315000,92145,2,2000,1010,0,0,0
32561,315000,92146,2,2000,980,0,0,0
32590,270000,92628,2,6000,1353,6000,81180,2.222
32590,270000,92629,2,6000,1333,6000,79980,2.222
32590,270000,92630,2,6000,1313,6000,78780,2.222
32590,270000,92631,2,2000,1263,0,0,0
32590,270000,92632,2,2000,1233,0,0,0
32671,450000,93190,2,2000,883,2000,17660,0.444
32671,450000,93191,2,3000,853,3000,25590,0.667
32671,450000,93192,2,4000,813,4000,32520,0.889
32671,450000,93193,2,3000,773,3000,23190,0.667
32671,450000,93194,2,4000,733,0,0,0
32843,360000,94297,2,2000,763,2000,15260,0.556
32843,360000,94298,2,4000,743,4000,29720,1.111
32843,360000,94299,2,8000,723,8000,57840,2.222
32843,360000,94300,2,5000,713,5000,35650,1.389
32843,360000,94301,2,3000,703,3000,21090,0.833
32942,135000,94916,2,12000,1150,12000,138000,8.889
32942,135000,94917,2,2000,1131,2000,22620,1.481
32942,135000,94918,2,2000,1121,2000,22420,1.481
32942,135000,94919,2,2000,930,0,0,0
32942,135000,94975,2,2000,950,0,0,0
33043,315000,95682,2,10000,1313,10000,131300,3.175
33043,315000,95683,2,10000,1283,10000,128300,3.175
33043,315000,95684,2,3000,1253,0,0,0
33043,315000,95685,2,3000,1233,0,0,0
33043,315000,95686,2,3000,1193,0,0,0
33170,450000,96759,2,3000,1047,3000,31410,0.667
33170,450000,96760,2,6000,1027,6000,61620,1.333
33170,450000,96761,2,4000,1007,4000,40280,0.889
33170,450000,96762,2,2000,987,2000,19740,0.444
33170,450000,96763,2,2000,967,2000,19340,0.444
33253,360000,97100,2,1000,977,1000,9770,0.278
33253,360000,97101,2,5000,967,5000,48350,1.389
33253,360000,97102,2,6000,947,6000,56820,1.667
33253,360000,97103,2,4000,937,4000,37480,1.111
33253,360000,97104,2,2000,837,2000,16740,0.556
33440,225000,97819,2,2000,1097,2000,21940,0.889
33440,225000,97820,2,2000,1077,2000,21540,0.889
33440,225000,97821,2,6000,1057,0,0,0
33440,225000,97822,2,2000,1037,0,0,0
33440,225000,97823,2,2000,1017,0,0,0
33586,202500,99010,2,7000,1403,7000,98210,3.457
33586,202500,99011,2,3000,1383,3000,41490,1.481
33586,202500,99012,2,2000,1353,2000,27060,0.988
33586,202500,99013,2,2000,1253,0,0,0
33586,202500,99014,2,2000,1223,0,0,0
33631,540000,99318,2,5000,1403,5000,70150,0.926
33631,540000,99319,2,10000,1383,10000,138300,1.852
33631,540000,99320,2,5000,1363,0,0,0
33631,540000,99321,2,3000,1333,0,0,0
33631,540000,99322,2,2000,1303,0,0,0
33768,540000,101186,2,10000,1503,10000,150300,1.852
33768,540000,101187,2,10000,1483,10000,148300,1.852
33768,540000,101188,2,10000,1463,10000,146300,1.852
33768,540000,101189,2,5000,1443,5000,72150,0.926
33768,540000,101190,2,5000,1423,0,0,0
29621,247500,66898,3,500,720,500,3600,0.202
29621,247500,66899,3,500,700,500,3500,0.202
29621,247500,66900,3,500,650,500,3250,0.202
29621,247500,66901,3,500,600,0,0,0
29621,247500,66902,3,500,550,0,0,0
29775,180000,68796,3,500,680,0,0,0
29775,180000,68797,3,500,630,0,0,0
29775,180000,68798,3,500,550,0,0,0
29775,180000,68799,3,500,400,0,0,0
29775,180000,68891,3,500,300,0,0,0
29840,360000,69444,3,700,700,700,4900,0.194
29840,360000,69445,3,500,650,500,3250,0.139
29840,360000,69446,3,500,600,136,816,0.038
29840,360000,69447,3,500,500,0,0,0
29840,360000,69448,3,500,400,0,0,0
29965,225000,70252,3,500,600,500,3000,0.222
29965,225000,70253,3,500,550,0,0,0
29965,225000,70254,3,500,500,0,0,0
29965,225000,70255,3,500,450,0,0,0
29965,225000,70256,3,500,400,0,0,0
30171,67500,71626,3,300,580,0,0,0
30171,67500,71627,3,300,530,0,0,0
30171,67500,71628,3,300,480,0,0,0
30297,270000,72712,3,300,1000,300,3000,0.111
30297,270000,72713,3,300,950,300,2850,0.111
30297,270000,72714,3,300,800,0,0,0
30297,270000,72715,3,300,700,0,0,0
30297,270000,72716,3,300,650,0,0,0
30391,270000,73803,3,500,700,500,3500,0.185
30391,270000,73804,3,500,600,500,3000,0.185
30391,270000,73805,3,500,500,0,0,0
30586,180000,75293,3,500,1000,0,0,0
30586,180000,75294,3,500,950,0,0,0
30586,180000,75295,3,500,800,0,0,0
30586,180000,75296,3,500,750,0,0,0
30586,180000,75297,3,500,700,0,0,0
30692,360000,75767,3,500,1000,500,5000,0.139
30692,360000,75768,3,500,900,500,4500,0.139
30692,360000,75769,3,500,850,500,4250,0.139
30692,360000,75770,3,500,750,500,3750,0.139
30692,360000,75771,3,500,700,0,0,0
30890,630000,78164,3,300,600,300,1800,0.048
30890,630000,78165,3,300,500,300,1500,0.048
30890,630000,78166,3,300,400,300,1200,0.048
30988,360000,79980,3,300,600,300,1800,0.083
30988,360000,79981,3,300,500,300,1500,0.083
30988,360000,79982,3,300,400,300,1200,0.083
30988,360000,79983,3,300,300,0,0,0
31159,157500,80289,3,300,600,0,0,0
31159,157500,80290,3,300,550,0,0,0
31159,157500,80291,3,300,500,0,0,0
31159,157500,80292,3,300,400,0,0,0
31294,270000,81494,3,500,680,500,3400,0.185
31294,270000,81495,3,300,630,300,1890,0.111
31294,270000,81496,3,300,550,0,0,0
31294,270000,81535,3,300,500,0,0,0
31294,270000,81536,3,300,450,0,0,0
31353,360000,82112,3,500,650,500,3250,0.139
31353,360000,82113,3,500,620,500,3100,0.139
31353,360000,82114,3,500,600,500,3000,0.139
31353,360000,82115,3,300,550,0,0,0
31353,360000,82116,3,300,500,0,0,0
31443,315000,82906,3,600,650,600,3900,0.19
31443,315000,82907,3,600,600,0,0,0
31443,315000,82908,3,600,550,0,0,0
31443,315000,82909,3,600,500,0,0,0
31606,180000,83830,3,500,750,0,0,0
31606,180000,83831,3,500,700,0,0,0
31606,180000,83832,3,500,600,0,0,0
31606,180000,83833,3,500,550,0,0,0
31606,180000,83834,3,500,500,0,0,0
31700,270000,84498,3,500,850,0,0,0
31700,270000,84499,3,500,810,0,0,0
31700,270000,84500,3,500,750,0,0,0
31783,405000,85511,3,1000,900,1000,9000,0.247
31783,405000,85512,3,500,850,0,0,0
31783,405000,85513,3,500,800,0,0,0
31900,270000,86699,3,500,880,500,4400,0.185
31900,270000,86700,3,500,850,500,4250,0.185
31900,270000,86701,3,500,800,500,4000,0.185
31900,270000,86702,3,500,700,0,0,0
31940,360000,87156,3,300,750,300,2250,0.083
31940,360000,87157,3,300,710,300,2130,0.083
31940,360000,87158,3,300,680,300,2040,0.083
31940,360000,87159,3,300,650,300,1950,0.083
31940,360000,87160,3,300,550,0,0,0
32033,360000,87588,3,500,630,500,3150,0.139
32033,360000,87589,3,500,580,0,0,0
32033,360000,87590,3,500,550,0,0,0
32122,247500,88365,3,500,650,0,0,0
32122,247500,88366,3,500,630,0,0,0
32122,247500,88367,3,500,600,0,0,0
32122,247500,88368,3,500,550,0,0,0
32169,540000,88864,3,1000,800,0,0,0
32169,540000,88865,3,500,700,0,0,0
32169,540000,88866,3,500,600,0,0,0
32262,630000,90564,3,500,880,500,4400,0.079
32262,630000,90565,3,500,830,500,4150,0.079
32262,630000,90566,3,500,700,0,0,0
32370,202500,91004,3,500,810,0,0,0
32370,202500,91005,3,500,770,0,0,0
32370,202500,91006,3,500,700,0,0,0
32561,315000,92049,3,500,1150,500,5750,0.159
32561,315000,92050,3,500,1100,500,5500,0.159
32561,315000,92051,3,500,1000,0,0,0
32561,315000,92052,3,500,900,0,0,0
32561,315000,92053,3,500,800,0,0,0
32590,270000,92571,3,500,1150,0,0,0
32590,270000,92572,3,500,1100,0,0,0
32590,270000,92573,3,500,1000,0,0,0
32590,270000,92574,3,500,950,0,0,0
32671,450000,93018,3,500,800,500,4000,0.111
32671,450000,93019,3,500,750,0,0,0
32671,450000,93020,3,500,700,0,0,0
32843,360000,94259,3,500,400,0,0,0
32843,360000,94307,3,500,550,0,0,0
32942,135000,94876,3,300,750,0,0,0
32942,135000,94877,3,300,700,0,0,0
32942,135000,94878,3,500,600,0,0,0
33043,315000,95792,3,500,1050,0,0,0
33043,315000,95793,3,300,1000,0,0,0
33043,315000,95794,3,200,950,0,0,0
33170,450000,96643,3,500,1200,500,6000,0.111
33170,450000,96644,3,500,1100,500,5500,0.111
33170,450000,96645,3,500,1000,500,5000,0.111
33170,450000,96646,3,500,800,0,0,0
